# This file contains voltage measurements accross a 100 Ω shunt resistor driven by the digital current driver.
# KS34470A ACAL TEMP=+2.75075130E+01
# Log started at UTC: 2021-04-13T19:43:25+00:00
# Date,Value KS34470A
2021-04-13 20:16:50.591007,-1.02443954E+01
2021-04-13 20:16:54.646223,-1.02443956E+01
2021-04-13 20:16:58.701421,-1.02443954E+01
2021-04-13 20:17:02.839954,-1.02443960E+01
2021-04-13 20:17:06.894226,-1.02443959E+01
2021-04-13 20:17:10.949847,-1.02443952E+01
2021-04-13 20:17:15.004968,-1.02443959E+01
2021-04-13 20:17:19.059306,-1.02443960E+01
2021-04-13 20:17:23.113640,-1.02443956E+01
2021-04-13 20:17:27.167889,-1.02443957E+01
2021-04-13 20:17:31.222255,-1.02443960E+01
2021-04-13 20:17:35.276484,-1.02443962E+01
2021-04-13 20:17:39.330816,-1.02443952E+01
2021-04-13 20:17:43.385051,-1.02443948E+01
2021-04-13 20:17:47.439685,-1.02443955E+01
2021-04-13 20:17:51.494474,-1.02443956E+01
2021-04-13 20:17:55.549624,-1.02443958E+01
2021-04-13 20:17:59.605030,-1.02443952E+01
2021-04-13 20:18:03.659437,-1.02443957E+01
2021-04-13 20:18:07.713846,-1.02443954E+01
2021-04-13 20:18:11.768373,-1.02443952E+01
2021-04-13 20:18:15.823167,-1.02443965E+01
