"time","output","temperature room","temperature labnode"
"2022-09-24 09:15:18+00",570,296.205,307.205
"2022-09-24 09:15:20+00",570,296.20500000000004,307.21000000000004
"2022-09-24 09:15:22+00",570,296.195,307.21500000000003
"2022-09-24 09:15:24+00",570,296.17,307.21
"2022-09-24 09:15:26+00",570,296.20500000000004,307.21500000000003
"2022-09-24 09:15:28+00",570,296.21500000000003,307.21500000000003
"2022-09-24 09:15:30+00",570,296.195,307.23
"2022-09-24 09:15:32+00",570,296.195,307.225
"2022-09-24 09:15:34+00",570,296.19,307.21500000000003
"2022-09-24 09:15:36+00",570,296.185,307.235
"2022-09-24 09:15:38+00",570,296.16499999999996,307.225
"2022-09-24 09:15:40+00",570,296.175,307.23
"2022-09-24 09:15:42+00",570,296.205,307.235
"2022-09-24 09:15:44+00",570,296.21,307.245
"2022-09-24 09:15:46+00",570,296.205,307.235
"2022-09-24 09:15:48+00",570,296.19,307.24
"2022-09-24 09:15:50+00",570,296.19,307.235
"2022-09-24 09:15:52+00",570,296.19,307.24
"2022-09-24 09:15:54+00",570,296.2,307.245
"2022-09-24 09:15:56+00",570,296.205,307.235
"2022-09-24 09:15:58+00",570,296.21500000000003,307.24
"2022-09-24 09:16:00+00",570,296.205,307.24
"2022-09-24 09:16:02+00",570,296.195,307.25
"2022-09-24 09:16:04+00",570,296.19,307.24
"2022-09-24 09:16:06+00",570,296.195,307.24
"2022-09-24 09:16:08+00",570,296.205,307.23
"2022-09-24 09:16:10+00",570,296.2,307.235
"2022-09-24 09:16:12+00",570,296.195,307.24
"2022-09-24 09:16:14+00",570,296.195,307.24
"2022-09-24 09:16:16+00",570,296.22,307.24
"2022-09-24 09:16:18+00",570,296.205,307.24
"2022-09-24 09:16:20+00",570,296.20500000000004,307.24
"2022-09-24 09:16:22+00",570,296.2,307.25
"2022-09-24 09:16:24+00",570,296.22,307.26
"2022-09-24 09:16:26+00",570,296.205,307.25
"2022-09-24 09:16:28+00",570,296.205,307.245
"2022-09-24 09:16:30+00",570,296.18,307.24
"2022-09-24 09:16:32+00",570,296.205,307.245
"2022-09-24 09:16:34+00",570,296.205,307.24
"2022-09-24 09:16:36+00",570,296.18,307.24
"2022-09-24 09:16:38+00",570,296.17499999999995,307.24
"2022-09-24 09:16:40+00",570,296.195,307.25
"2022-09-24 09:16:42+00",570,296.175,307.245
